num, g
13074991, 74 75 76 77 98 101 102 122 126 146 150 161 170 174 185 194 198 209 218 219 220 221 222 227 231 233 236 242 251 252 255 257 260 266 269 275 276 279 281 283 290 293 297 299 300 303 305 306 314 317 321 323 325 327 329 330 338 341 345 347 349 351 353 354 362 365 369 371 373 374 375 377 379 386 389 393 395 398 399 401 404 410 413 414 416 417 419 423 425 428 429 434 438 439 440 449 458 473
13074992, 57 58 59 60 61 80 86 103 111 127 133 135 138 139 140 141 151 153 155 157 158 159 160 161 163 165 169 170 171 172 173 174 175 176 177 178 179 180 182 184 186 188 189 193 195 197 199 201 203 205 207 209 211 212 217 218 220 222 224 226 228 230 231 232 233 234 235 242 243 247 248 249 250 251 252 253 254 255 256 268 269 270 271 280 294 295 297 298 301 302 304 318 319 321 325 328 342 343 352 367 376 391 392 395 397 400 415 416 417 423 424 439 440 443 444 445 448 464 465 471 488 489 490 494 512 513 514 515 516 517 536 537 538 539 540 560 561 562 563 564
13074993, 128 129 130 131 132 133 134 151 159 174 184 198 208 222 232 246 256 270 272 273 274 275 276 277 278 279 280 293 294 296 297 299 300 301 303 304 316 317 320 321 322 323 324 325 326 327 328 341 342 344 345 346 347 350 351 352 366 376 390 393 394 395 396 397 398 399 400 414 415 416 417 418 419 420 421 422 423 424 425 437 438 439 440 441 442 446 447 448 449 461 462 463 464 465 466 467 468 469 470 471 472 473 485 486 487 488 489 490 491 492 493 494 495 496 497 510 511 512 513 514 515 516 517 518 519 520 521 534 536 537 538 539 540 541 542 543 544 558 562 563 564 565 566 567
13074994, 128 129 130 131 132 133 134 151 159 176 182 201 202 203 204 205 224 228 230 247 252 255 270 274 280 293 296 297 298 299 305 316 321 324 330 340 345 346 347 354 364 369 372 375 378 389 392 393 394 395 398 401 414 418 424 439 447 464 465 466 467 468 469 470
